Num,Type of Burrito,Restaurant,Address,Near by,Cost ($),Overall Rating (out of 5),Provide Free Chips ?,Recipe,URL,Notes
11,Surf & Turf,JV's Mexican Food,1112 Morena Blvd,Morena,9.5,2.5,No,Beef; Guac; Shrimp; Rice; Bell; peper,http://jvsmexfood.com/,Huge. Shrimp is good. Meat is normal
12,Chile verde pork,Tony's Fresh Mexican Food,7122 Miramar Rd,Miramar,6.95,3,Yes,Pico; Fries; Pork; Rice; Beans; Carrots,https://www.yelp.com/biz/tonys-fresh-mexican-food-san-diego,
13,California,Tony's Fresh Mexican Food,7122 Miramar Rd,Miramar,6.25,3.9,Yes,Beef; Pico; Cheese; Fries,https://www.yelp.com/biz/tonys-fresh-mexican-food-san-diego,
14,battered fish ,Tony's Fresh Mexican Food,7122 Miramar Rd,Miramar,6.99,2,Yes,Fish; Cabbage; Sauce,https://www.yelp.com/biz/tonys-fresh-mexican-food-san-diego,
15,California,Tony's Fresh Mexican Food,7122 Miramar Rd,Miramar,6.25,2.75,Yes,Beef; Pico; Cheese; Fries,https://www.yelp.com/biz/tonys-fresh-mexican-food-san-diego,"to-go, no guac or sour cream, fries are a small and underdone"
16,California,Taco stand,621 Pearl St,La Jolla,7.49,4.2,No,Beef; Pico; Guac; Cheese; Fries; Sour cream,http://letstaco.com/,Horchata is very sweet
17,Surf & Turf,Taco stand,621 Pearl St,La Jolla,8.49,4.1,No,Beef; Pico; Guac; Shrimp; Cabbage,http://letstaco.com/,
18,Adobada,Graciela's Taco Shop,5047 Central Ave,Bonita,5.99,4,No,Pork; Beans; Salsa; Cilantro; Onion,https://www.yelp.com/biz/gracielas-taco-shop-bonita-2,Salsa verde spicy
19,Barbacoa,Graciela's Taco Shop,5047 Central Ave,Bonita,5.99,4,No,Beef; Cilantro; Onion,https://www.yelp.com/biz/gracielas-taco-shop-bonita-2,
20,California,Rigoberto's Taco Shop La Jolla,7345 La Jolla Blvd,La Jolla,6.4,3,No,Beef; Pico; Fries,https://www.yelp.com/biz/rigobertos-la-jolla-2,
21,California,Rigoberto's Taco Shop La Jolla,7345 La Jolla Blvd,La Jolla,6.4,3.5,No,Beef; Pico; Fries,https://www.yelp.com/biz/rigobertos-la-jolla-2,
22,2 in 1,Lolita's taco shop,7305 Clairemont Mesa Blvd,Kearny Mesa,8.75,4,No,Beef; Guac; Cheese; Taquito,http://lolitasmexicanfood.com/,Rolled tacos need more meat
23,Adobada,Lolita's taco shop,7305 Clairemont Mesa Blvd,Kearny Mesa,5.5,3.5,No,Pico; Guac; Pork,http://lolitasmexicanfood.com/,Adobado reminds me of Indian food because of some mystery spice
24,California,Taco stand,7305 Clairemont Mesa Blvd,Kearny Mesa,7.49,4.6,No,Beef; Pico; Guac; Cheese; Fries; Sour cream,,
25,California,Taco stand,7305 Clairemont Mesa Blvd,Kearny Mesa,7.49,4.5,No,Beef; Pico; Guac; Cheese; Fries; Sour cream,,
26,Shredded beef,Lola's 7 Up Market & Deli,3292 Roosevelt St,Carlsbad,6,3.8,No,Beef; Pico; Cheese; Beans,https://www.yelp.com/biz/lolas-7-up-market-and-deli-carlsbad,Food cooks fast but checking out is painfully slow
27,Carne asada,Lola's 7 Up Market & Deli,3292 Roosevelt St,Carlsbad,7,3,No,Beef; Pico; Guac; Cheese; Beans,https://www.yelp.com/biz/lolas-7-up-market-and-deli-carlsbad,Beans are surprisingly good
28,Hawaiian,Colima's Mexican Food,2302 University Ave,North park,6.29,4,No,Cheese; Pork; Pineapple; Ham; Ham,https://www.yelp.com/biz/colimas-mexican-food-san-diego,
29,Bandido,Colima's Mexican Food,2302 University Ave,North park,6.49,4,No,Beef; Rice; Beans; Sauce; Chile; relleno,https://www.yelp.com/biz/colimas-mexican-food-san-diego,
30,Bandido,Colima's Mexican Food,2302 University Ave,North park,6.49,3,No,Beef; Rice; Beans; Sauce; Chile; relleno,https://www.yelp.com/biz/colimas-mexican-food-san-diego,Promising start but finished poorly
31,Carne asada,Rigoberto's Taco Shop,7094 Miramar Rd,Miramar,6.6,4.25,No,Beef; Pico; Guac,https://www.yelp.com/biz/rigobertos-taco-shop-san-diego-2,
32,Campeon,Rigoberto's Taco Shop,7094 Miramar Rd,Miramar,7.65,3.4,No,Beef; Pico; Guac; Cheese; Fries; Sour cream,https://www.yelp.com/biz/rigobertos-taco-shop-san-diego-2,
33,Chile verde pork,Raul's Mexican food,490 S Coast Hwy 101,Encinitas,5,2,No,Pork; Beans; Salsa,https://www.yelp.com/biz/rauls-shack-encinitas,
34,Carne asada,Raul's Mexican food,490 S Coast Hwy 101,Encinitas,5,1,No,Beef; Pico; Guac,https://www.yelp.com/biz/rauls-shack-encinitas,burrito was mostly tortilla
35,California,El Zarape,4642 Park Blvd,University Heights,6.25,3.33,Yes,Beef; Pico; Guac; Cheese; Fries,https://www.yelp.com/biz/el-zarape-san-diego,
36,California - Chicken,El Zarape,4642 Park Blvd,University Heights,6.25,2.5,Yes,Pico; Guac; Cheese; Fries; Chicken,"https://www.yelp.com/biz/el-zarape-san-diego
",
37,Azteca,El Zarape,4642 Park Blvd,University Heights,6.25,3,Yes,Beef; Pico; Cheese; Beans; Nopales,"https://www.yelp.com/biz/el-zarape-san-diego
",
38,Lobster,El Zarape,4642 Park Blvd,University Heights,9.5,3.2,Yes,Tomato; Cabbage; Sauce; Lobster,"https://www.yelp.com/biz/el-zarape-san-diego
",quite small
39,California,El Indio,3695 India St,San Diego,7.84,4,No,Beef; Guac; Cheese; Fries,http://elindiosandiego.com/,
40,Carne asada,Taco stand,3695 India St,San Diego,7.89,4.2,No,Beef; Pico; Guac,,
41,Al pastor,Taco stand,3695 India St,San Diego,6.99,3.5,No,Pork; Cilantro; Onion; Pineapple,,Kind of dry 
